Archive;Volume;Path;Contenuto Volume;Numero Totale Record Associati;Numero Record Cancellati Logicamente;Campo Tecnico (Esiste Si/No)
LeasGroup;8265;\\10.0.0.121\Volume-126\leasegroup\ftattive\8265;Inesistente;99;99;Si
DirectLine_FaxElettronici;861881;\\10.0.0.122\Volume-172\directline\FaxElettronici\861881;Inesistente;5;5;Si
DirectLine_FaxElettronici;863451;\\10.0.0.122\Volume-172\directline\FaxElettronici\863451;Inesistente;3;3;Si
DirectLine_FaxElettronici;863391;\\10.0.0.122\Volume-172\directline\FaxElettronici\863391;Inesistente;2;2;Si
DirectLine_FaxElettronici;863825;\\10.0.0.122\Volume-172\directline\FaxElettronici\863825;Inesistente;2;2;Si
DirectLine_FaxElettronici;864331;\\10.0.0.122\Volume-172\directline\FaxElettronici\864331;Inesistente;2;2;Si
DirectLine_FaxElettronici;864869;\\10.0.0.122\Volume-172\directline\FaxElettronici\864869;Inesistente;2;2;Si
civis_fa;8650;\\10.0.0.120\volume-91\civis\ft_attive\8650;Inesistente;1;1;Si
DirectLine_FaxElettronici;863212;\\10.0.0.122\Volume-172\directline\FaxElettronici\863212;Inesistente;2;1;Si
DirectLine_FaxElettronici;863234;\\10.0.0.122\Volume-172\directline\FaxElettronici\863234;Inesistente;1;1;Si
DirectLine_FaxElettronici;863986;\\10.0.0.122\Volume-172\directline\FaxElettronici\863986;Inesistente;1;1;Si
DirectLine_FaxElettronici;864484;\\10.0.0.122\Volume-172\directline\FaxElettronici\864484;Inesistente;1;1;Si
DirectLine_FaxElettronici;864882;\\10.0.0.122\Volume-172\directline\FaxElettronici\864882;Inesistente;1;1;Si
DirectLine_FaxElettronici;865064;\\10.0.0.122\Volume-172\directline\FaxElettronici\865064;Inesistente;1;1;Si
DirectLine_FaxElettronici;865121;\\10.0.0.122\Volume-172\directline\FaxElettronici\865121;Inesistente;2;1;Si
Metro_PEC;89145;\\10.0.0.122\Volume-177\metro\pec\89145;Inesistente;4;1;Si
Agos_ContrattiTesoreria;100;\\10.0.0.119\Volume-136\Agos\ContrattiTesoreria\100;File Tecnico;0;0;Si
Agos_ContrattiTesoreria;171;\\10.0.0.119\Volume-144\Agos\ContrattiTesoreria\171;File Tecnico;0;0;Si
Agos_ContrattiTesoreria;176;\\10.0.0.119\Volume-147\Agos\ContrattiTesoreria\176;File Tecnico;0;0;Si
Agos_ContrattiTesoreria;178;\\10.0.0.122\Volume-177\Agos\ContrattiTesoreria\178;File Tecnico;0;0;Si
AMGEN_ModuliCongressi;122;\\10.0.0.111\Volume-39\amgen\ModuliCongressi\122;Inesistente;8;0;Si
AMGEN_ModuliCongressi;186;\\10.0.0.110\Volume-44\amgen\ModuliCongressi\186;Inesistente;18;0;Si
AMGEN_ModuliCongressi;254;\\10.0.0.120\Volume-91\amgen\ModuliCongressi\254;Inesistente;0;0;Si
AMGEN_ModuliCongressi;331;\\10.0.0.120\Volume-106\amgen\ModuliCongressi\331;Inesistente;0;0;Si
AMGEN_ModuliCongressi;352;\\10.0.0.121\Volume-112\amgen\ModuliCongressi\352;File Tecnico;0;0;Si
AMGEN_ModuliCongressi;359;\\10.0.0.121\Volume-114\amgen\ModuliCongressi\359;File Tecnico;0;0;Si
AMGEN_ModuliCongressi;377;\\10.0.0.121\Volume-117\amgen\ModuliCongressi\377;File Tecnico;0;0;Si
AMGEN_ModuliCongressi;414;\\10.0.0.121\Volume-123\amgen\ModuliCongressi\414;File Tecnico;0;0;Si
AMGEN_ModuliCongressi;432;\\10.0.0.121\Volume-126\amgen\ModuliCongressi\432;File Tecnico;0;0;Si
AMGEN_ModuliCongressi;444;\\10.0.0.121\Volume-128\amgen\ModuliCongressi\444;File Tecnico;0;0;Si
AMGEN_ModuliCongressi;455;\\10.0.0.119\Volume-132\amgen\ModuliCongressi\455;File Tecnico;0;0;Si
AMGEN_ModuliCongressi;471;\\10.0.0.119\Volume-136\amgen\ModuliCongressi\471;File Tecnico;0;0;Si
AMGEN_ModuliCongressi;482;\\10.0.0.119\Volume-139\amgen\ModuliCongressi\482;File Tecnico;0;0;Si
AMGEN_ModuliCongressi;487;\\10.0.0.119\Volume-141\amgen\ModuliCongressi\487;File Tecnico;0;0;Si
AMGEN_ModuliCongressi;496;\\10.0.0.122\Volume-174\amgen\ModuliCongressi\496;File Tecnico;0;0;Si
Auxologico_FattureAttive;706;\\10.0.0.110\volume-56\Auxologico\FtAttive\706;File Tecnico;0;0;Si
Auxologico_FattureAttive;1065;\\10.0.0.120\Volume-101\Auxologico\FtAttive\1065;File Tecnico;0;0;Si
Auxologico_FattureAttive;1210;\\10.0.0.120\Volume-106\Auxologico\FtAttive\1210;File Tecnico;0;0;Si
Auxologico_FattureAttive;1334;\\10.0.0.121\Volume-112\Auxologico\FtAttive\1334;File Tecnico;0;0;Si
Auxologico_FattureAttive;1546;\\10.0.0.121\Volume-123\Auxologico\FtAttive\1546;File Tecnico;0;0;Si
Auxologico_FattureAttive;1627;\\10.0.0.121\Volume-126\Auxologico\FtAttive\1627;File Tecnico;0;0;Si
Auxologico_FattureAttive;1694;\\10.0.0.121\Volume-128\Auxologico\FtAttive\1694;File Tecnico;0;0;Si
Auxologico_FattureAttive;1758;\\10.0.0.119\Volume-132\auxologico\FtAttive\1758;File Tecnico;0;0;Si
Auxologico_FattureAttive;1811;\\10.0.0.119\Volume-136\auxologico\FtAttive\1811;File Tecnico;0;0;Si
Auxologico_FattureAttive;1850;\\10.0.0.119\Volume-139\auxologico\FtAttive\1850;File Tecnico;0;0;Si
Auxologico_FattureAttive;1877;\\10.0.0.119\Volume-141\auxologico\FtAttive\1877;File Tecnico;0;0;Si
Auxologico_FattureAttive;2014;\\10.0.0.119\Volume-144\auxologico\FtAttive\2014;File Tecnico;0;0;Si
Auxologico_FattureAttive;2087;\\10.0.0.119\Volume-147\auxologico\FtAttive\2087;File Tecnico;0;0;Si
Auxologico_FattureAttive;2111;\\10.0.0.119\Volume-150\auxologico\FtAttive\2111;File Tecnico;0;0;Si
Auxologico_FattureAttive;2150;\\10.0.0.120\Volume-152\auxologico\FtAttive\2150;File Tecnico;0;0;Si
Auxologico_FattureAttive;2198;\\10.0.0.120\Volume-155\auxologico\FtAttive\2198;File Tecnico;0;0;Si
Auxologico_FattureAttive;2275;\\10.0.0.120\Volume-160\auxologico\FtAttive\2275;File Tecnico;0;0;Si
Auxologico_FattureAttive;2310;\\10.0.0.122\Volume-162\auxologico\FtAttive\2310;File Tecnico;0;0;Si
Auxologico_FattureAttive;2379;\\10.0.0.122\Volume-166\auxologico\FtAttive\2379;File Tecnico;0;0;Si
Auxologico_FattureAttive;2442;\\10.0.0.122\Volume-169\auxologico\FtAttive\2442;File Tecnico;0;0;Si
Auxologico_FattureAttive;2501;\\10.0.0.122\Volume-172\auxologico\FtAttive\2501;File Tecnico;0;0;Si
Auxologico_FattureAttive;2528;\\10.0.0.122\Volume-174\auxologico\FtAttive\2528;File Tecnico;0;0;Si
Auxologico_FattureAttive;2582;\\10.0.0.122\Volume-177\auxologico\FtAttive\2582;File Tecnico;0;0;Si
Auxologico_FattureAttive;2630;\\10.0.0.122\Volume-179\auxologico\FtAttive\2630;File Tecnico;0;0;Si
Auxologico_FattureAttive;2710;\\10.0.0.122\Volume-181\auxologico\FtAttive\2710;File Tecnico;0;0;Si
